engine_name,display_name,distance_m,i_have_kevlar,p_win_vs_ak
mp5sd,MP5-SD,20.0,True,0.1666
mp5sd,MP5-SD,20.0,False,0.0401
mp5sd,MP5-SD,25.0,True,0.082
mp5sd,MP5-SD,25.0,False,0.0212
mp5sd,MP5-SD,30.0,True,0.089
mp5sd,MP5-SD,30.0,False,0.0364
mp5sd,MP5-SD,40.0,True,0.0365
mp5sd,MP5-SD,40.0,False,0.0112
mp7,MP7,2.5,True,0.0
mp7,MP7,2.5,False,0.0
mp7,MP7,5.0,True,0.0
mp7,MP7,5.0,False,0.0
mp7,MP7,7.5,True,0.0
mp7,MP7,7.5,False,0.0
mp7,MP7,10.0,True,0.0
mp7,MP7,10.0,False,0.0
mp7,MP7,12.5,True,0.0348
mp7,MP7,12.5,False,0.0
mp7,MP7,15.0,True,0.1723
mp7,MP7,15.0,False,0.0227
mp7,MP7,20.0,True,0.25
mp7,MP7,20.0,False,0.0735
mp7,MP7,25.0,True,0.0804
mp7,MP7,25.0,False,0.0206
mp7,MP7,30.0,True,0.0946
mp7,MP7,30.0,False,0.037
mp7,MP7,40.0,True,0.0356
mp7,MP7,40.0,False,0.0112
mp9,MP9,2.5,True,0.0
mp9,MP9,2.5,False,0.0
mp9,MP9,5.0,True,0.0
mp9,MP9,5.0,False,0.0
mp9,MP9,7.5,True,0.0
mp9,MP9,7.5,False,0.0
mp9,MP9,10.0,True,0.0
mp9,MP9,10.0,False,0.0
mp9,MP9,12.5,True,0.036
mp9,MP9,12.5,False,0.0
mp9,MP9,15.0,True,0.18760000000000002
mp9,MP9,15.0,False,0.0254
mp9,MP9,20.0,True,0.31070000000000003
mp9,MP9,20.0,False,0.09029999999999999
mp9,MP9,25.0,True,0.1366
mp9,MP9,25.0,False,0.0398
mp9,MP9,30.0,True,0.1332
mp9,MP9,30.0,False,0.0568
mp9,MP9,40.0,True,0.0708
mp9,MP9,40.0,False,0.0254
negev,Negev,2.5,True,1.0
negev,Negev,2.5,False,0.0
negev,Negev,5.0,True,0.313
negev,Negev,5.0,False,0.0
negev,Negev,7.5,True,0.0
negev,Negev,7.5,False,0.0
negev,Negev,10.0,True,0.0
negev,Negev,10.0,False,0.0
negev,Negev,12.5,True,0.0004
negev,Negev,12.5,False,0.0
negev,Negev,15.0,True,0.0213
negev,Negev,15.0,False,0.0012
negev,Negev,20.0,True,0.0512
negev,Negev,20.0,False,0.0096
negev,Negev,25.0,True,0.105
negev,Negev,25.0,False,0.0294
negev,Negev,30.0,True,0.1908
negev,Negev,30.0,False,0.0766
negev,Negev,40.0,True,0.302
negev,Negev,40.0,False,0.15669999999999998
nova,Nova,2.5,True,1.0
nova,Nova,2.5,False,1.0
nova,Nova,5.0,True,0.055
nova,Nova,5.0,False,0.055
nova,Nova,7.5,True,0.0
nova,Nova,7.5,False,0.0
nova,Nova,10.0,True,0.0
nova,Nova,10.0,False,0.0
nova,Nova,12.5,True,0.0
nova,Nova,12.5,False,0.0
nova,Nova,15.0,True,0.0
nova,Nova,15.0,False,0.0
nova,Nova,20.0,True,0.0
nova,Nova,20.0,False,0.0
nova,Nova,25.0,True,0.0
nova,Nova,25.0,False,0.0
nova,Nova,30.0,True,0.0
nova,Nova,30.0,False,0.0
nova,Nova,40.0,True,0.015
nova,Nova,40.0,False,0.0024
p250,P250,2.5,True,0.0
p250,P250,2.5,False,0.0
p250,P250,5.0,True,0.0
p250,P250,5.0,False,0.0
p250,P250,7.5,True,0.0
p250,P250,7.5,False,0.0
p250,P250,10.0,True,0.0
p250,P250,10.0,False,0.0
p250,P250,12.5,True,0.0
p250,P250,12.5,False,0.0
p250,P250,15.0,True,0.0018
p250,P250,15.0,False,0.0
p250,P250,20.0,True,0.001
p250,P250,20.0,False,0.0004
p250,P250,25.0,True,0.0006
p250,P250,25.0,False,0.0002
p250,P250,30.0,True,0.0028
p250,P250,30.0,False,0.0006
p250,P250,40.0,True,0.0204
p250,P250,40.0,False,0.0042
p90,P90,2.5,True,0.0
p90,P90,2.5,False,0.0
p90,P90,5.0,True,0.0
p90,P90,5.0,False,0.0
p90,P90,7.5,True,0.0
p90,P90,7.5,False,0.0
p90,P90,10.0,True,0.0
p90,P90,10.0,False,0.0
p90,P90,12.5,True,0.0083
p90,P90,12.5,False,0.0
p90,P90,15.0,True,0.0437
p90,P90,15.0,False,0.006500000000000001
p90,P90,20.0,True,0.022
p90,P90,20.0,False,0.0055000000000000005
p90,P90,25.0,True,0.0104
p90,P90,25.0,False,0.003
p90,P90,30.0,True,0.0286
p90,P90,30.0,False,0.0114
p90,P90,40.0,True,0.0201
p90,P90,40.0,False,0.0049
revolver,R8 Revolver,2.5,True,0.0
revolver,R8 Revolver,2.5,False,0.0
revolver,R8 Revolver,5.0,True,0.0
revolver,R8 Revolver,5.0,False,0.0
revolver,R8 Revolver,7.5,True,0.0
revolver,R8 Revolver,7.5,False,0.0
revolver,R8 Revolver,10.0,True,0.0
revolver,R8 Revolver,10.0,False,0.0
revolver,R8 Revolver,12.5,True,0.0
revolver,R8 Revolver,12.5,False,0.0
revolver,R8 Revolver,15.0,True,0.0002
revolver,R8 Revolver,15.0,False,0.0
revolver,R8 Revolver,20.0,True,0.0002
revolver,R8 Revolver,20.0,False,0.0
revolver,R8 Revolver,25.0,True,0.0
revolver,R8 Revolver,25.0,False,0.0
revolver,R8 Revolver,30.0,True,0.0
revolver,R8 Revolver,30.0,False,0.0
revolver,R8 Revolver,40.0,True,0.015399999999999999
revolver,R8 Revolver,40.0,False,0.0028
sawedoff,Sawed-Off,2.5,True,1.0
sawedoff,Sawed-Off,2.5,False,1.0
sawedoff,Sawed-Off,5.0,True,0.0092
sawedoff,Sawed-Off,5.0,False,0.0092
sawedoff,Sawed-Off,7.5,True,0.0
sawedoff,Sawed-Off,7.5,False,0.0
sawedoff,Sawed-Off,10.0,True,0.0
sawedoff,Sawed-Off,10.0,False,0.0
sawedoff,Sawed-Off,12.5,True,0.0
sawedoff,Sawed-Off,12.5,False,0.0
sawedoff,Sawed-Off,15.0,True,0.0
sawedoff,Sawed-Off,15.0,False,0.0
sawedoff,Sawed-Off,20.0,True,0.0
sawedoff,Sawed-Off,20.0,False,0.0
sawedoff,Sawed-Off,25.0,True,0.0
sawedoff,Sawed-Off,25.0,False,0.0
sawedoff,Sawed-Off,30.0,True,0.0
sawedoff,Sawed-Off,30.0,False,0.0
sawedoff,Sawed-Off,40.0,True,0.015
sawedoff,Sawed-Off,40.0,False,0.0024
scar20,SCAR-20,2.5,True,0.0
scar20,SCAR-20,2.5,False,0.0
scar20,SCAR-20,5.0,True,0.0
scar20,SCAR-20,5.0,False,0.0
scar20,SCAR-20,7.5,True,0.0
scar20,SCAR-20,7.5,False,0.0
scar20,SCAR-20,10.0,True,0.0
scar20,SCAR-20,10.0,False,0.0
scar20,SCAR-20,12.5,True,0.0132
scar20,SCAR-20,12.5,False,0.0
scar20,SCAR-20,15.0,True,0.2018
scar20,SCAR-20,15.0,False,0.0292
scar20,SCAR-20,20.0,True,1.0
scar20,SCAR-20,20.0,False,0.4834
scar20,SCAR-20,25.0,True,1.0
scar20,SCAR-20,25.0,False,1.0
scar20,SCAR-20,30.0,True,1.0
scar20,SCAR-20,30.0,False,1.0
scar20,SCAR-20,40.0,True,1.0
scar20,SCAR-20,40.0,False,1.0
sg556,SG 553,2.5,True,0.0
sg556,SG 553,2.5,False,0.0
sg556,SG 553,5.0,True,0.0
sg556,SG 553,5.0,False,0.0
sg556,SG 553,7.5,True,0.0
sg556,SG 553,7.5,False,0.0
sg556,SG 553,10.0,True,0.0
sg556,SG 553,10.0,False,0.0
sg556,SG 553,12.5,True,0.1148
sg556,SG 553,12.5,False,0.0
sg556,SG 553,15.0,True,0.3702
sg556,SG 553,15.0,False,0.0576
sg556,SG 553,20.0,True,0.5836
sg556,SG 553,20.0,False,0.1932
sg556,SG 553,25.0,True,0.7014
sg556,SG 553,25.0,False,0.29
sg556,SG 553,30.0,True,0.8012
sg556,SG 553,30.0,False,0.4972
sg556,SG 553,40.0,True,0.9024
sg556,SG 553,40.0,False,0.723
ssg08,SSG 08,2.5,True,0.0
ssg08,SSG 08,2.5,False,0.0
ssg08,SSG 08,5.0,True,0.0
ssg08,SSG 08,5.0,False,0.0
ssg08,SSG 08,7.5,True,0.0
ssg08,SSG 08,7.5,False,0.0
ssg08,SSG 08,10.0,True,0.0
ssg08,SSG 08,10.0,False,0.0
ssg08,SSG 08,12.5,True,0.0
ssg08,SSG 08,12.5,False,0.0
ssg08,SSG 08,15.0,True,0.0058
ssg08,SSG 08,15.0,False,0.0004
ssg08,SSG 08,20.0,True,0.0766
ssg08,SSG 08,20.0,False,0.0136
ssg08,SSG 08,25.0,True,0.3118
ssg08,SSG 08,25.0,False,0.0916
ssg08,SSG 08,30.0,True,0.693
ssg08,SSG 08,30.0,False,0.3848
ssg08,SSG 08,40.0,True,0.9536
ssg08,SSG 08,40.0,False,0.8046
tec9,Tec-9,2.5,True,0.0
tec9,Tec-9,2.5,False,0.0
tec9,Tec-9,5.0,True,0.0
tec9,Tec-9,5.0,False,0.0
tec9,Tec-9,7.5,True,0.0
tec9,Tec-9,7.5,False,0.0
tec9,Tec-9,10.0,True,0.0
tec9,Tec-9,10.0,False,0.0
tec9,Tec-9,12.5,True,0.0002
tec9,Tec-9,12.5,False,0.0
tec9,Tec-9,15.0,True,0.0068
tec9,Tec-9,15.0,False,0.0004
tec9,Tec-9,20.0,True,0.018
tec9,Tec-9,20.0,False,0.0038
tec9,Tec-9,25.0,True,0.0374
tec9,Tec-9,25.0,False,0.008
tec9,Tec-9,30.0,True,0.0874
tec9,Tec-9,30.0,False,0.0244
tec9,Tec-9,40.0,True,0.0877
tec9,Tec-9,40.0,False,0.032
ump45,UMP-45,2.5,True,0.0
ump45,UMP-45,2.5,False,0.0
ump45,UMP-45,5.0,True,0.0
ump45,UMP-45,5.0,False,0.0
ump45,UMP-45,7.5,True,0.0
ump45,UMP-45,7.5,False,0.0
ump45,UMP-45,10.0,True,0.0
ump45,UMP-45,10.0,False,0.0
ump45,UMP-45,12.5,True,0.0106
ump45,UMP-45,12.5,False,0.0
ump45,UMP-45,15.0,True,0.0302
ump45,UMP-45,15.0,False,0.0024
ump45,UMP-45,20.0,True,0.0094
ump45,UMP-45,20.0,False,0.0022
ump45,UMP-45,25.0,True,0.0042
ump45,UMP-45,25.0,False,0.0014
ump45,UMP-45,30.0,True,0.0004
ump45,UMP-45,30.0,False,0.0006
ump45,UMP-45,40.0,True,0.015
ump45,UMP-45,40.0,False,0.0024
usp_silencer,USP-S,2.5,True,0.0
usp_silencer,USP-S,2.5,False,0.0
usp_silencer,USP-S,5.0,True,0.0
usp_silencer,USP-S,5.0,False,0.0
usp_silencer,USP-S,7.5,True,0.0
usp_silencer,USP-S,7.5,False,0.0
usp_silencer,USP-S,10.0,True,0.0
usp_silencer,USP-S,10.0,False,0.0
usp_silencer,USP-S,12.5,True,0.0
usp_silencer,USP-S,12.5,False,0.0
usp_silencer,USP-S,15.0,True,0.0012
usp_silencer,USP-S,15.0,False,0.0
usp_silencer,USP-S,20.0,True,0.0046
usp_silencer,USP-S,20.0,False,0.0014
usp_silencer,USP-S,25.0,True,0.0152
usp_silencer,USP-S,25.0,False,0.0024
usp_silencer,USP-S,30.0,True,0.0958
usp_silencer,USP-S,30.0,False,0.0278
usp_silencer,USP-S,40.0,True,0.26339999999999997
usp_silencer,USP-S,40.0,False,0.1206
xm1014,XM1014,2.5,True,0.0
xm1014,XM1014,2.5,False,0.0
xm1014,XM1014,5.0,True,0.0
xm1014,XM1014,5.0,False,0.0
xm1014,XM1014,7.5,True,0.0
